run,lead,subset,n,actual_spatial_std,predicted_spatial_std,spread_retention,spread_temporal_corr
glstm_sweep_20260907_090603,1,all,1881,4.102322741588797,3.665119329856456,0.8934253984212331,0.22314644407082276
glstm_sweep_20260907_090603,1,any_station_gt_35,335,13.940664393661287,4.257748102618068,0.30541931018395607,-0.020719268364905282
glstm_sweep_20260907_090603,2,all,1881,4.106783682346897,3.0871806034218534,0.7517271037898026,0.05513994741237054
glstm_sweep_20260907_090603,2,any_station_gt_35,336,13.931301512061266,3.2279768042194013,0.23170676490094802,0.04191809288544722
glstm_sweep_20260907_090603,3,all,1881,4.112710464196873,3.092284251947158,0.7518847433747119,0.025780683316079137
glstm_sweep_20260907_090603,3,any_station_gt_35,337,13.927250821777045,3.2288374347006576,0.23183595068539697,0.007314601818657235
glstm_sweep_20260907_090603,4,all,1881,4.117276118042993,2.961230912033936,0.7192208700934677,0.012465017353801495
glstm_sweep_20260907_090603,4,any_station_gt_35,337,13.927250821777045,3.023932742511584,0.21712344964616254,0.06104795647763488
glstm_sweep_20260907_090603,5,all,1881,4.1218355031325515,2.667821450760921,0.6472411256425457,-0.010189656927507854
glstm_sweep_20260907_090603,5,any_station_gt_35,338,13.91223315794664,2.6371075911912274,0.18955314802820974,0.024677782799768608
glstm_sweep_20260907_100511,1,all,1881,4.102322741588797,3.665119329856456,0.8934253984212331,0.22314644407082276
glstm_sweep_20260907_100511,1,any_station_gt_35,335,13.940664393661287,4.257748102618068,0.30541931018395607,-0.020719268364905282
glstm_sweep_20260907_100511,2,all,1881,4.106783682346897,3.0871806034218534,0.7517271037898026,0.05513994741237054
glstm_sweep_20260907_100511,2,any_station_gt_35,336,13.931301512061266,3.2279768042194013,0.23170676490094802,0.04191809288544722
glstm_sweep_20260907_100511,3,all,1881,4.112710464196873,3.092284251947158,0.7518847433747119,0.025780683316079137
glstm_sweep_20260907_100511,3,any_station_gt_35,337,13.927250821777045,3.2288374347006576,0.23183595068539697,0.007314601818657235
glstm_sweep_20260907_100511,4,all,1881,4.117276118042993,2.961230912033936,0.7192208700934677,0.012465017353801495
glstm_sweep_20260907_100511,4,any_station_gt_35,337,13.927250821777045,3.023932742511584,0.21712344964616254,0.06104795647763488
glstm_sweep_20260907_100511,5,all,1881,4.1218355031325515,2.667821450760921,0.6472411256425457,-0.010189656927507854
glstm_sweep_20260907_100511,5,any_station_gt_35,338,13.91223315794664,2.6371075911912274,0.18955314802820974,0.024677782799768608
glstm_sweep_20260907_114458,1,all,1881,4.102322741588797,3.135629309694491,0.764354612548131,0.363981662305921
glstm_sweep_20260907_114458,1,any_station_gt_35,335,13.940664393661287,4.12227724562306,0.29570163438533303,0.05766111734635642
glstm_sweep_20260907_114458,2,all,1881,4.106783682346897,1.6074422208805064,0.3914114658120741,0.14502599970121582
glstm_sweep_20260907_114458,2,any_station_gt_35,336,13.931301512061266,1.7268321744307955,0.12395339896532716,0.05754944053851137
glstm_sweep_20260907_114458,3,all,1881,4.112710464196873,1.0969433363028867,0.266720292092601,0.10287549121977345
glstm_sweep_20260907_114458,3,any_station_gt_35,337,13.927250821777045,1.1647465628503135,0.0836307594194457,0.06732895444399699
glstm_sweep_20260907_114458,4,all,1881,4.117276118042993,0.8604260372937231,0.20897943509863445,0.08311400484030419
glstm_sweep_20260907_114458,4,any_station_gt_35,337,13.927250821777045,0.9239259099358148,0.06633943207880898,0.06196199955244062
glstm_sweep_20260907_114458,5,all,1881,4.1218355031325515,0.667948270850227,0.16205117121791818,0.06113933421527426
glstm_sweep_20260907_114458,5,any_station_gt_35,338,13.91223315794664,0.6925406266730191,0.049779256774275756,0.13341072630567447
glstm_sweep_20260907_121609,1,all,1881,4.102322741588797,3.9926701549666643,0.9732706094743622,0.38779698709356203
glstm_sweep_20260907_121609,1,any_station_gt_35,335,13.940664393661287,5.487956299028793,0.3936653335922874,0.16219002460489443
glstm_sweep_20260907_121609,2,all,1881,4.106783682346897,3.52976611987504,0.8594964801890637,0.1442104540418772
glstm_sweep_20260907_121609,2,any_station_gt_35,336,13.931301512061266,4.024200737321424,0.2888603576512505,0.08096530774005506
glstm_sweep_20260907_121609,3,all,1881,4.112710464196873,3.414854099203797,0.8303171664846694,0.10695694444995094
glstm_sweep_20260907_121609,3,any_station_gt_35,337,13.927250821777045,3.8507433714330133,0.2764898414417784,0.04493111067646421
glstm_sweep_20260907_121609,4,all,1881,4.117276118042993,3.1851025413996266,0.7735945926583998,0.0771596534911585
glstm_sweep_20260907_121609,4,any_station_gt_35,337,13.927250821777045,3.491782426699527,0.2507158427304028,0.062198970604362955
glstm_sweep_20260907_121609,5,all,1881,4.1218355031325515,2.6735335687706216,0.6486269446557885,0.06373780116053246
glstm_sweep_20260907_121609,5,any_station_gt_35,338,13.91223315794664,2.899709497410103,0.2084287593867556,0.08677762577844315
