model,lead,subset,n,rmse,mae,bias,r2,actual_mean,predicted_mean,actual_std,predicted_std,predicted_min,predicted_max,corr
persistence,all,all,582800,13.824902357014253,6.870433822558526,-0.020368443667765915,-0.8545323601921646,4.4214923947824545,4.4011239511146885,10.151842345887372,10.13549195408758,0.0,184.94509887695312,0.07124128602698834
persistence,all,heavy_gt_35,14492,48.02258676110716,44.272417536632084,-43.42677132042935,-7.554942986378288,51.274194885873015,7.847423565443662,16.418632800459527,13.950174880626294,0.0,131.3343048095703,0.09582163364724096
train_station_mean,all,all,583110,10.130541125944061,6.086759713981428,0.16241006319769208,0.003749153914437642,4.419435921666537,4.581845984864229,10.149585170956659,0.6842340351018494,3.245434077508243,5.816968131542374,0.0634131024214795
train_station_mean,all,heavy_gt_35,14492,49.38552633951935,46.58197567805809,-46.58197567805809,-8.047433368736709,51.274194885873015,4.692219207814922,16.418632800459527,0.6622900552981673,3.245434077508243,5.816968131542374,0.044159760461532443
train_station_month_mean,all,all,583110,10.12200317425217,6.074785522836635,0.17443629090228746,0.005427713256154432,4.419435921666537,4.593872212568825,10.149585170956659,1.0061153932011044,2.494599550001083,8.319205341800567,0.07843132496183278
train_station_month_mean,all,heavy_gt_35,14492,49.26809892238552,46.45784022276424,-46.45784022276424,-8.004459091875427,51.274194885873015,4.816354663108787,16.418632800459527,1.0682931683056538,2.494599550001083,8.319205341800567,0.04840674076155305
persistence,1,all,116560,12.656714546584702,5.971550037047597,-0.007905281809150313,-0.5572883246288598,4.409029232923839,4.4011239511146885,10.14230044623327,10.135491954087579,0.0,184.94509887695312,0.22083331479325835
persistence,1,heavy_gt_35,2894,43.34337236492268,39.24970808404845,-37.80446080561745,-5.964633958396175,51.28706069608845,13.482599890470999,16.423796335266896,16.627506843253148,0.0,131.3343048095703,0.17713123391325047
train_station_mean,1,all,116622,10.121563283456517,6.080402497711093,0.17443571380617456,0.0036328419781147536,4.407410271058054,4.581845984864229,10.139998547982739,0.6842340351018494,3.245434077508243,5.816968131542374,0.06285058209705206
train_station_mean,1,heavy_gt_35,2894,49.399399485139966,46.5949163086663,-46.5949163086663,-8.046825995683102,51.28706069608845,4.692144387422154,16.423796335266896,0.6624402236853415,3.245434077508243,5.816968131542374,0.04436988326075659
train_station_month_mean,1,all,116622,10.113389492878433,6.06878180381566,0.18644854829963764,0.005241448836337148,4.407410271058054,4.593858819357692,10.139998547982739,1.0059066095132092,2.494599550001083,8.319205341800567,0.07772311486582913
train_station_month_mean,1,heavy_gt_35,2894,49.28202527415528,46.47085764660111,-46.47085764660111,-8.003886098987904,51.28706069608845,4.81620304948734,16.423796335266896,1.0685626541061466,2.494599550001083,8.319205341800567,0.04859035750282277
persistence,2,all,116560,14.038557310778797,7.009271554154898,-0.016336197221450962,-0.9134755549887692,4.41746014833614,4.4011239511146885,10.148714145469476,10.135491954087579,0.0,184.94509887695312,0.04201626337604712
persistence,2,heavy_gt_35,2896,48.81047311438785,45.42737738598776,-44.93754673135874,-7.833627805162431,51.27695828116401,6.339411549805278,16.422658756209945,12.466162315419428,0.0,124.69244384765624,0.15149341216873885
train_station_mean,2,all,116622,10.127657365382223,6.085283561806197,0.1664186289377355,0.003701161971069733,4.415427355926493,4.581845984864229,10.146451602036866,0.6842340351018494,3.245434077508243,5.816968131542374,0.06315461104250387
train_station_mean,2,heavy_gt_35,2896,49.38964611844965,46.585047466604344,-46.585047466604344,-8.04450683168809,51.27695828116401,4.691910814559671,16.422658756209945,0.6622773883078678,3.245434077508243,5.816968131542374,0.04467653331093749
train_station_month_mean,2,all,116622,10.119269140768147,6.073473783496637,0.17843816003676463,0.005350846043380653,4.415427355926493,4.593865515963258,10.146451602036866,1.0060110067957164,2.494599550001083,8.319205341800567,0.07811802865216544
train_station_month_mean,2,heavy_gt_35,2896,49.27233931910143,46.4610850072865,-46.4610850072865,-8.001594106189573,51.27695828116401,4.815873273877514,16.422658756209945,1.068267572252922,2.494599550001083,8.319205341800567,0.04884674107761394
persistence,3,all,116560,14.218467034234559,7.144007820745977,-0.02287379584250257,-0.9606839611681961,4.423997746957191,4.4011239511146885,10.15427631912002,10.135491954087579,0.0,184.94509887695312,0.017845382785200675
persistence,3,heavy_gt_35,2900,49.46418563181216,45.96733914079337,-45.42264543730637,-8.07858667012586,51.271329908699826,5.848684471393454,16.416544239045663,11.886357477060931,0.0,111.826416015625,0.06995098023027602
train_station_mean,3,all,116622,10.132900543754626,6.088218975614191,0.1599287992457823,0.003757564832075011,4.4219171856184465,4.581845984864229,10.151991878695256,0.6842340351018494,3.245434077508243,5.816968131542374,0.0634160808531877
train_station_mean,3,heavy_gt_35,2900,49.3821927812457,46.57916375340527,-46.57916375340527,-8.048513911762667,51.271329908699826,4.692166155294557,16.416544239045663,0.6622118297413478,3.245434077508243,5.816968131542374,0.04410638723445502
train_station_month_mean,3,all,116622,10.124338075166243,6.076235673625465,0.1719550269503778,0.00544053613939488,4.4219171856184465,4.593872212568825,10.151991878695256,1.0061153932011044,2.494599550001083,8.319205341800567,0.07844833298010252
train_station_month_mean,3,heavy_gt_35,2900,49.2648005412047,46.455075335534566,-46.455075335534566,-8.0055444652156,51.271329908699826,4.81625457316526,16.416544239045663,1.0681372715063875,2.494599550001083,8.319205341800567,0.04839698218808749
persistence,4,all,116560,14.10726153254119,7.1407347894484,-0.026160822228855192,-0.9294170509697297,4.427284773343544,4.4011239511146885,10.156162981753008,10.135491954087579,0.0,184.94509887695312,0.03332938058039748
persistence,4,heavy_gt_35,2900,49.22048986132136,45.44546668480182,-44.6079620861185,-7.989351875913458,51.271329908699826,6.663367822581324,16.416544239045663,12.940896136592077,0.0,126.42860412597656,0.009845797540098506
train_station_mean,4,all,116622,10.134605555160364,6.089668993387119,0.15684408127396665,0.0038060903121983625,4.425001903590262,4.581845984864229,10.153947397315038,0.6842340351018494,3.245434077508243,5.816968131542374,0.06370433929476513
train_station_mean,4,heavy_gt_35,2900,49.3821927812457,46.57916375340527,-46.57916375340527,-8.048513911762667,51.271329908699826,4.692166155294557,16.416544239045663,0.6622118297413478,3.245434077508243,5.816968131542374,0.04410638723445502
train_station_month_mean,4,all,116622,10.125881352460746,6.077498167268247,0.1688770055841284,0.00552046524278238,4.425001903590262,4.593878909174391,10.153947397315038,1.0062197687327585,2.494599550001083,8.319205341800567,0.07879788977750744
train_station_month_mean,4,heavy_gt_35,2900,49.2648005412047,46.455075335534566,-46.455075335534566,-8.0055444652156,51.271329908699826,4.81625457316526,16.416544239045663,1.0681372715063875,2.494599550001083,8.319205341800567,0.04839698218808749
persistence,5,all,116560,14.042310303935398,7.086604911395762,-0.02856612123687053,-0.9110993710918129,4.429690072351559,4.4011239511146885,10.15773622584783,10.135491954087579,0.0,184.94509887695312,0.042359544394792344
persistence,5,heavy_gt_35,2902,48.9849775011985,45.262714659403635,-44.35105556590569,-7.906695336531328,51.26433286660298,6.91327730069729,16.41362906142529,13.86692735668205,0.0,127.6693344116211,0.06411721378225733
train_station_mean,5,all,116622,10.135971947589134,6.090224541388539,0.1544230927248009,0.0038451659905315294,4.427422892139428,4.581845984864229,10.155515574357501,0.6842340351018494,3.245434077508243,5.816968131542374,0.06393898483838292
train_station_mean,5,heavy_gt_35,2902,49.37423906941205,46.57162525709888,-46.57162525709888,-8.048812771385048,51.26433286660298,4.692707609504103,16.41362906142529,0.6623089981733138,3.245434077508243,5.816968131542374,0.04354138492000818
train_station_month_mean,5,all,116622,10.127131464314823,6.077938185977163,0.1664627136405287,0.00558207878631789,4.427422892139428,4.593885605779957,10.155515574357501,1.006324133394062,2.494599550001083,8.319205341800567,0.07906771195863745
train_station_month_mean,5,heavy_gt_35,2902,49.25656783313839,46.447146571961895,-46.447146571961895,-8.005732971862846,51.26433286660298,4.8171862946410755,16.41362906142529,1.0683610361223455,2.494599550001083,8.319205341800567,0.04780436455690002
