run,lead,subset,n,rmse,mae,bias,r2,actual_mean,predicted_mean,actual_std,predicted_std,predicted_min,predicted_max,corr
glstm_sweep_20260907_090603,all,all,583110,14.226297325755311,12.152143342659006,9.108311836624573,-0.9646589794859242,4.419435921666537,13.52774775829111,10.149585170956659,5.534011489280271,0.5266590118408203,32.99337387084961,0.1265239212937592
glstm_sweep_20260907_090603,all,dry_le_1,369426,13.955005737986955,12.822115121508453,12.822114216517411,-3594.553771055258,0.13282398584502592,12.954938202362436,0.2327271898085472,5.5166319947201865,0.5266590118408203,31.584774017333984,0.059125267087864745
glstm_sweep_20260907_090603,all,wet_gt_1,213684,14.683499006718375,10.99386759729091,2.6877321114495873,-0.10949708868844676,11.830313203085817,14.518045314535405,13.940118793116005,5.423041045329185,0.7627511024475098,32.99337387084961,0.10155744992847264
glstm_sweep_20260907_090603,all,heavy_gt_35,14492,39.13368103554085,35.367630505163696,-35.367630505163696,-4.681034434804794,51.274194885873015,15.906564380709321,16.418632800459527,5.6797244903086295,1.9738373756408687,31.864526748657227,0.11396415470348371
glstm_sweep_20260907_090603,1,all,116622,12.655437926756683,10.108143294670825,7.465070104508434,-0.5576811715556715,4.407410271058054,11.872480375566488,10.139998547982739,7.270524202407722,0.5266590118408203,32.99337387084961,0.34756576909354037
glstm_sweep_20260907_090603,1,dry_le_1,73949,11.252473682721764,9.37482249354247,9.374817972491194,-2334.4528928242967,0.13293212312145034,9.507750095612643,0.23284260529106435,6.277696332094385,0.5266590118408203,31.584774017333984,0.2506421802523796
glstm_sweep_20260907_090603,1,wet_gt_1,42673,14.774494884514207,11.378931379001449,4.155625137211616,-0.12302607658515186,11.814749444815792,15.970374582027407,13.941763831394631,7.048900550996651,0.7627511024475098,32.99337387084961,0.218996133970999
glstm_sweep_20260907_090603,1,heavy_gt_35,2894,35.636981808546295,31.59203486691365,-31.59203486691365,-3.708198113094329,51.28706069608845,19.695025829174803,16.423796335266896,6.569733365247524,1.9738373756408687,31.864526748657227,0.1898271144474072
glstm_sweep_20260907_090603,2,all,116622,14.47166434013949,12.530174960744343,9.497491127143103,-1.0342699572149385,4.415427355926493,13.912918483069596,10.146451602036866,5.14748050451458,4.722527027130127,31.7910213470459,0.09784191513675405
glstm_sweep_20260907_090603,2,dry_le_1,73918,14.342947096617424,13.398141312358565,13.398141312358565,-3795.1990659850444,0.13286875047680877,13.531010062835373,0.23278977874773069,5.124153168303217,4.722527027130127,30.95151138305664,0.042417714702886716
glstm_sweep_20260907_090603,2,wet_gt_1,42704,14.691800823551699,11.027778539364148,2.7457053368012976,-0.1105549070888403,11.828273154859374,14.573978491660672,13.941355903585903,5.120726584845626,4.9571380615234375,31.7910213470459,0.08595849267292018
